,Albite,Anhydrite,Aragonite,Calcite,Dolomite,Forsterite,Goethite,Gypsum,Hematite,Kyanite,Muscovite,Pyrite,Quartz,Siderite,Tremolite
Albite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anhydrite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aragonite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calcite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolomite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forsterite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goethite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gypsum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hematite,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Kyanite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muscovite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pyrite,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Quartz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siderite,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Tremolite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
